to_major_id,from_course_id,to_course_id,note,applies_from_year,applies_to_year
53,464,,,,
53,264,,,,
53,265,,,,
53,782,,,,
53,783,,,,
53,784,,,,
53,785,,,,
53,786,,,,
53,787,,,,
53,788,,,,
53,789,,,,
1,555,,,,
1,556,,,,
1,557,,,,
1,558,,,,
1,559,,,,
2,697,,,,
2,698,,,,
2,699,,,,
2,700,,,,
3,697,,,,
3,698,,,,
3,699,,,,
3,700,,,,
45,791,,,,
32,274,,,,
32,272,,,,
32,271,,,,
32,279,,,,
31,295,,,,
31,296,,,,
31,297,,,,
31,299,,,,
31,307,,,,
31,313,,,,
31,314,,,,
34,792,,,,
34,530,,,,
34,522,,,,
34,523,,,,
35,530,,,,
35,522,,,,
35,523,,,,
35,875,,,,
36,522,,,,
36,792,,,,
36,791,,,,
37,791,,,,
37,792,,,,
37,868,,,,
37,872,,,,
37,875,,,,
38,738,,,,
38,522,,,,
50,522,,,,
50,523,,,,
50,651,,,,
50,654,,,,
50,663,,,,
50,486,,,,
50,485,,,,
50,293,,,,
50,292,,,,
50,736,,,,
39,263,,,,
39,264,,,,
39,265,,,,
39,266,,,,
39,267,,,,
39,646,,,,
39,430,,,,
39,440,,,,
39,269,,,,
39,276,,,,
39,662,,,,