building_id,name,facility_category,floor,description
2,푸드코트,RESTAURANT,1,"파스타, 국밥 등"
9,학생식당,RESTAURANT,1,
9,바비든든,RESTAURANT,1,
9,교직원식당,RESTAURANT,2,
9,맘스터치,RESTAURANT,3,
1,던킨도너츠,CAFE,1,
2,미니빈,CAFE,2,
2,애플빈,CAFE,1,
3,미니빈,CAFE,1,
5,미니빈,CAFE,1,
6,미니빈,CAFE,2,
9,그라찌에,CAFE,3,
9,비틀주스,CAFE,2,
9,미니빈,CAFE,2,
8,미니빈,CAFE,3,
1,컴퓨터실,IT_EQUIPMENT,1,
1,복사기,IT_EQUIPMENT,1,
2,복사기,IT_EQUIPMENT,2,
2,컴퓨터실,IT_EQUIPMENT,4,
3,컴퓨터실,IT_EQUIPMENT,1,
4,컴퓨터실,IT_EQUIPMENT,1,
5,컴퓨터실,IT_EQUIPMENT,2,
5,복사기,IT_EQUIPMENT,1,
6,컴퓨터실,IT_EQUIPMENT,1,
9,복사기,IT_EQUIPMENT,3,
9,제본,IT_EQUIPMENT,3,
1,라운지,READING_ROOM,1,
1,스터디룸,READING_ROOM,1,
1,열람실,READING_ROOM,3,
2,열람실,READING_ROOM,1,
2,열람실,READING_ROOM,4,
5,열람실,READING_ROOM,4,
6,열람실,READING_ROOM,2,
8,일반자료실,READING_ROOM,1,
8,열람실,READING_ROOM,3,
8,열람실,READING_ROOM,4,
1,Coopsket,CONVENIENCE_STORE,3,
2,Coopsket,CONVENIENCE_STORE,1,
3,Coopsket,CONVENIENCE_STORE,1,
5,Coopsket,CONVENIENCE_STORE,1,
8,Coopsket,CONVENIENCE_STORE,1,
2,우리은행ATM,ETC,1,
3,여랑,ETC,1,여학우 휴식공간
5,여랑,ETC,1,여학우 휴식공간
6,여랑,ETC,2,여학우 휴식공간
7,우리은행ATM,ETC,1,
7,우리은행,ETC,1,
7,우체국,ETC,1,
7,무인서류발급기,ETC,1,
8,문구점,ETC,3,
8,안경점,ETC,3,