major_id,liberal_category_id,required_credit,applies_from_year,applies_to_year,
48,2,6,2024,2024,
48,5,12,2024,2024,
48,4,3,2024,2024,
48,20,1,2024,2024,
48,13,1,2024,2024,
49,2,6,2024,2024,
49,5,12,2024,2024,
49,4,3,2024,2024,
49,20,1,2024,2024,
49,13,1,2024,2024,
45,2,6,2024,2024,
45,5,12,2024,2024,
45,4,3,2024,2024,
45,20,1,2024,2024,
45,13,1,2024,2024,
46,2,6,2024,2024,
46,5,12,2024,2024,
46,4,3,2024,2024,
46,20,1,2024,2024,
46,13,1,2024,2024,
47,2,6,2024,2024,
47,5,12,2024,2024,
47,4,3,2024,2024,
47,20,1,2024,2024,
47,13,1,2024,2024,
41,2,6,2024,2024,
41,5,12,2024,2024,
41,4,3,2024,2024,
41,20,1,2024,2024,
41,13,1,2024,2024,
42,2,6,2024,2024,
42,5,12,2024,2024,
42,4,3,2024,2024,
42,20,1,2024,2024,
42,13,1,2024,2024,
50,2,6,2024,2024,
50,5,12,2024,2024,
50,4,3,2024,2024,
50,20,1,2024,2024,
50,13,1,2024,2024,
51,2,6,2024,2024,
51,5,12,2024,2024,
51,4,3,2024,2024,
51,20,1,2024,2024,
51,13,1,2024,2024,
1,2,6,2024,2024,
1,1,6,2024,2024,
1,4,3,2024,2024,
1,20,1,2024,2024,
1,13,1,2024,2024,
2,2,6,2024,2024,
2,1,6,2024,2024,
2,4,3,2024,2024,
2,20,1,2024,2024,
2,13,1,2024,2024,
3,2,6,2024,2024,
3,1,6,2024,2024,
3,4,3,2024,2024,
3,20,1,2024,2024,
3,13,1,2024,2024,
4,2,6,2024,2024,
4,1,6,2024,2024,
4,4,3,2024,2024,
4,20,1,2024,2024,
4,13,1,2024,2024,
17,2,6,2024,2024,
17,1,6,2024,2024,
17,4,3,2024,2024,
17,20,1,2024,2024,
17,13,1,2024,2024,
18,2,6,2024,2024,
18,1,6,2024,2024,
18,4,3,2024,2024,
18,20,1,2024,2024,
18,13,1,2024,2024,
19,2,6,2024,2024,
19,1,6,2024,2024,
19,4,3,2024,2024,
19,20,1,2024,2024,
19,13,1,2024,2024,
20,2,6,2024,2024,
20,1,6,2024,2024,
20,4,3,2024,2024,
20,20,1,2024,2024,
20,13,1,2024,2024,
21,2,6,2024,2024,
21,1,6,2024,2024,
21,4,3,2024,2024,
21,20,1,2024,2024,
21,13,1,2024,2024,
22,2,6,2024,2024,
22,1,6,2024,2024,
22,4,3,2024,2024,
22,20,1,2024,2024,
22,13,1,2024,2024,
23,2,6,2024,2024,
23,1,6,2024,2024,
23,4,3,2024,2024,
23,20,1,2024,2024,
23,13,1,2024,2024,
24,2,6,2024,2024,
24,1,6,2024,2024,
24,4,3,2024,2024,
24,20,1,2024,2024,
24,13,1,2024,2024,
25,2,6,2024,2024,
25,1,6,2024,2024,
25,4,3,2024,2024,
25,20,1,2024,2024,
25,13,1,2024,2024,
26,2,6,2024,2024,
26,1,6,2024,2024,
26,4,3,2024,2024,
26,20,1,2024,2024,
26,13,1,2024,2024,
27,2,6,2024,2024,
27,1,6,2024,2024,
27,4,3,2024,2024,
27,20,1,2024,2024,
27,13,1,2024,2024,
28,2,6,2024,2024,
28,1,6,2024,2024,
28,4,3,2024,2024,
28,20,1,2024,2024,
28,13,1,2024,2024,
29,2,6,2024,2024,
29,1,6,2024,2024,
29,4,3,2024,2024,
29,20,1,2024,2024,
29,13,1,2024,2024,
30,2,6,2024,2024,
30,1,6,2024,2024,
30,4,3,2024,2024,
30,20,1,2024,2024,
30,13,1,2024,2024,
33,2,6,2024,2024,
33,1,6,2024,2024,
33,4,3,2024,2024,
33,20,1,2024,2024,
33,13,1,2024,2024,
34,2,6,2024,2024,
34,1,6,2024,2024,
34,4,3,2024,2024,
34,20,1,2024,2024,
34,13,1,2024,2024,
35,2,6,2024,2024,
35,1,6,2024,2024,
35,4,3,2024,2024,
35,20,1,2024,2024,
35,13,1,2024,2024,
36,2,6,2024,2024,
36,1,6,2024,2024,
36,4,3,2024,2024,
36,20,1,2024,2024,
36,13,1,2024,2024,
37,2,6,2024,2024,
37,1,6,2024,2024,
37,4,3,2024,2024,
37,20,1,2024,2024,
37,13,1,2024,2024,
38,2,6,2024,2024,
38,1,6,2024,2024,
38,4,3,2024,2024,
38,20,1,2024,2024,
38,13,1,2024,2024,
39,2,6,2024,2024,
39,1,6,2024,2024,
39,3,6,2024,2024,
39,4,3,2024,2024,
39,20,1,2024,2024,
39,13,1,2024,2024,
40,2,6,2024,2024,
40,1,6,2024,2024,
40,3,6,2024,2024,
40,4,3,2024,2024,
40,20,1,2024,2024,
40,13,1,2024,2024,
43,2,6,2024,2024,
43,1,6,2024,2024,
43,3,6,2024,2024,
43,4,3,2024,2024,
43,20,1,2024,2024,
43,13,1,2024,2024,
44,2,6,2024,2024,
44,1,6,2024,2024,
44,3,6,2024,2024,
44,4,3,2024,2024,
44,20,1,2024,2024,
44,13,1,2024,2024,
31,2,6,2024,2024,
31,1,6,2024,2024,
31,3,6,2024,2024,
31,4,3,2024,2024,
31,20,1,2024,2024,
31,13,1,2024,2024,
32,2,6,2024,2024,
32,1,6,2024,2024,
32,3,6,2024,2024,
32,4,3,2024,2024,
32,20,1,2024,2024,
32,13,1,2024,2024,
17,2,6,2021,2023,
17,1,6,2021,2023,
17,4,3,2021,2023,
17,20,1,2021,2023,
17,13,1,2021,2023,
18,2,6,2021,2023,
18,1,6,2021,2023,
18,4,3,2021,2023,
18,20,1,2021,2023,
18,13,1,2021,2023,
19,2,6,2021,2023,
19,1,6,2021,2023,
19,4,3,2021,2023,
19,20,1,2021,2023,
19,13,1,2021,2023,
20,2,6,2021,2023,
20,1,6,2021,2023,
20,4,3,2021,2023,
20,20,1,2021,2023,
20,13,1,2021,2023,
21,2,6,2021,2023,
21,1,6,2021,2023,
21,4,3,2021,2023,
21,20,1,2021,2023,
21,13,1,2021,2023,
22,2,6,2021,2023,
22,1,6,2021,2023,
22,4,3,2021,2023,
22,20,1,2021,2023,
22,13,1,2021,2023,
23,2,6,2021,2023,
23,1,6,2021,2023,
23,4,3,2021,2023,
23,20,1,2021,2023,
23,13,1,2021,2023,
24,2,6,2021,2023,
24,1,6,2021,2023,
24,4,3,2021,2023,
24,20,1,2021,2023,
24,13,1,2021,2023,
25,2,6,2021,2023,
25,1,6,2021,2023,
25,4,3,2021,2023,
25,20,1,2021,2023,
25,13,1,2021,2023,
26,2,6,2021,2023,
26,1,6,2021,2023,
26,4,3,2021,2023,
26,20,1,2021,2023,
26,13,1,2021,2023,
27,2,6,2021,2023,
27,1,6,2021,2023,
27,4,3,2021,2023,
27,20,1,2021,2023,
27,13,1,2021,2023,
28,2,6,2021,2023,
28,1,6,2021,2023,
28,4,3,2021,2023,
28,20,1,2021,2023,
28,13,1,2021,2023,
29,2,6,2021,2023,
29,1,6,2021,2023,
29,4,3,2021,2023,
29,20,1,2021,2023,
29,13,1,2021,2023,
30,2,6,2021,2023,
30,1,6,2021,2023,
30,4,3,2021,2023,
30,20,1,2021,2023,
30,13,1,2021,2023,
1,2,6,2021,2023,
1,1,6,2021,2023,
1,4,3,2021,2023,
1,20,1,2021,2023,
1,13,1,2021,2023,
2,2,6,2021,2023,
2,1,6,2021,2023,
2,4,3,2021,2023,
2,20,1,2021,2023,
2,13,1,2021,2023,
3,2,6,2021,2023,
3,1,6,2021,2023,
3,4,3,2021,2023,
3,20,1,2021,2023,
3,13,1,2021,2023,
4,2,6,2021,2023,
4,1,6,2021,2023,
4,4,3,2021,2023,
4,20,1,2021,2023,
4,13,1,2021,2023,
33,2,6,2021,2023,
33,1,6,2021,2023,
33,4,3,2021,2023,
33,20,1,2021,2023,
33,13,1,2021,2023,
34,2,6,2021,2023,
34,1,6,2021,2023,
34,4,3,2021,2023,
34,20,1,2021,2023,
34,13,1,2021,2023,
35,2,6,2021,2023,
35,1,6,2021,2023,
35,4,3,2021,2023,
35,20,1,2021,2023,
35,13,1,2021,2023,
36,2,6,2021,2023,
36,1,6,2021,2023,
36,4,3,2021,2023,
36,20,1,2021,2023,
36,13,1,2021,2023,
37,2,6,2021,2023,
37,1,6,2021,2023,
37,4,3,2021,2023,
37,20,1,2021,2023,
37,13,1,2021,2023,
38,2,6,2021,2023,
38,1,6,2021,2023,
38,4,3,2021,2023,
38,20,1,2021,2023,
38,13,1,2021,2023,
5,2,6,2021,2023,
5,1,6,2021,2023,
5,4,3,2021,2023,
5,20,1,2021,2023,
5,13,1,2021,2023,
6,2,6,2021,2023,
6,1,6,2021,2023,
6,4,3,2021,2023,
6,20,1,2021,2023,
6,13,1,2021,2023,
7,2,6,2021,2023,
7,1,6,2021,2023,
7,4,3,2021,2023,
7,20,1,2021,2023,
7,13,1,2021,2023,
8,2,6,2021,2023,
8,1,6,2021,2023,
8,4,3,2021,2023,
8,20,1,2021,2023,
8,13,1,2021,2023,
9,2,6,2021,2023,
9,1,6,2021,2023,
9,4,3,2021,2023,
9,20,1,2021,2023,
9,13,1,2021,2023,
10,2,6,2021,2023,
10,1,6,2021,2023,
10,4,3,2021,2023,
10,20,1,2021,2023,
10,13,1,2021,2023,
11,2,6,2021,2023,
11,1,6,2021,2023,
11,4,3,2021,2023,
11,20,1,2021,2023,
11,13,1,2021,2023,
12,2,6,2021,2023,
12,1,6,2021,2023,
12,4,3,2021,2023,
12,20,1,2021,2023,
12,13,1,2021,2023,
13,2,6,2021,2023,
13,1,6,2021,2023,
13,4,3,2021,2023,
13,20,1,2021,2023,
13,13,1,2021,2023,
14,2,6,2021,2023,
14,1,6,2021,2023,
14,4,3,2021,2023,
14,20,1,2021,2023,
14,13,1,2021,2023,
15,2,6,2021,2023,
15,1,6,2021,2023,
15,4,3,2021,2023,
15,20,1,2021,2023,
15,13,1,2021,2023,
16,2,6,2021,2023,
16,1,6,2021,2023,
16,4,3,2021,2023,
16,20,1,2021,2023,
16,13,1,2021,2023,
58,2,6,2021,2023,
58,1,6,2021,2023,
58,4,3,2021,2023,
58,20,1,2021,2023,
58,13,1,2021,2023,
59,2,6,2021,2023,
59,1,6,2021,2023,
59,4,3,2021,2023,
59,20,1,2021,2023,
59,13,1,2021,2023,
60,2,6,2021,2023,
60,1,6,2021,2023,
60,4,3,2021,2023,
60,20,1,2021,2023,
60,13,1,2021,2023,
61,2,6,2021,2023,
61,1,6,2021,2023,
61,4,3,2021,2023,
61,20,1,2021,2023,
61,13,1,2021,2023,
45,2,6,2021,2023,
45,1,6,2021,2023,
45,4,3,2021,2023,
45,20,1,2021,2023,
45,13,1,2021,2023,
39,2,6,2021,2023,
39,1,6,2021,2023,
39,3,6,2021,2023,
39,4,3,2021,2023,
39,20,1,2021,2023,
39,13,1,2021,2023,
40,2,6,2021,2023,
40,1,6,2021,2023,
40,3,6,2021,2023,
40,4,3,2021,2023,
40,20,1,2021,2023,
40,13,1,2021,2023,
41,2,6,2021,2023,
41,1,6,2021,2023,
41,3,6,2021,2023,
41,4,3,2021,2023,
41,20,1,2021,2023,
41,13,1,2021,2023,
42,2,6,2021,2023,
42,1,6,2021,2023,
42,3,6,2021,2023,
42,4,3,2021,2023,
42,20,1,2021,2023,
42,13,1,2021,2023,
43,2,6,2021,2023,
43,1,6,2021,2023,
43,3,6,2021,2023,
43,4,3,2021,2023,
43,20,1,2021,2023,
43,13,1,2021,2023,
31,2,6,2021,2023,
31,1,6,2021,2023,
31,3,6,2021,2023,
31,4,3,2021,2023,
31,20,1,2021,2023,
31,13,1,2021,2023,
32,2,6,2021,2023,
32,1,6,2021,2023,
32,3,6,2021,2023,
32,4,3,2021,2023,
32,20,1,2021,2023,
32,13,1,2021,2023,
44,2,6,2021,2023,
44,1,6,2021,2023,
44,3,6,2021,2023,
44,4,3,2021,2023,
44,20,1,2021,2023,
44,13,1,2021,2023,
50,2,6,2021,2023,
50,1,6,2021,2023,
50,3,6,2021,2023,
50,4,3,2021,2023,
50,20,1,2021,2023,
50,13,1,2021,2023,
62,2,6,2021,2023,
62,1,6,2021,2023,
62,3,6,2021,2023,
62,4,3,2021,2023,
62,20,1,2021,2023,
62,13,1,2021,2023,
63,2,6,2021,2023,
63,1,6,2021,2023,
63,3,6,2021,2023,
63,4,3,2021,2023,
63,20,1,2021,2023,
63,13,1,2021,2023,
62,2,6,2024,2024,
62,1,6,2024,2024,
62,3,6,2024,2024,
62,4,1,2024,2024,
62,20,1,2024,2024,
62,13,1,2024,2024,
63,2,6,2024,2024,
63,1,6,2024,2024,
63,3,6,2024,2024,
63,4,1,2024,2024,
63,20,1,2024,2024,
63,13,1,2024,2024,
59,2,6,2024,2024,
59,1,6,2024,2024,
59,4,3,2024,2024,
59,20,1,2024,2024,
59,13,1,2024,2024,
60,2,6,2024,2024,
60,1,6,2024,2024,
60,4,3,2024,2024,
60,20,1,2024,2024,
60,13,1,2024,2024,
61,2,6,2024,2024,
61,1,6,2024,2024,
61,4,3,2024,2024,
61,20,1,2024,2024,
61,13,1,2024,2024,